"","Plant.Id","Plant.Name","State","Net.Gen","Physical_Unit","Total_Fuel_Consumption","FuelType","Lat","Lon"
"1450",1403,"Nine Mile Point","LA",1522829,"mcf","0","NG",29.95,-90.15
"1451",1403,"Nine Mile Point","LA",25312,"barrels","46,119","NG",29.95,-90.15
"1452",1403,"Nine Mile Point","LA",2408518,"mcf","27,152,676","NG",29.95,-90.15
"1453",1403,"Nine Mile Point","LA",0,"barrels","0","NG",29.95,-90.15
"1454",1403,"Nine Mile Point","LA",4856449,"mcf","50,952,960","NG",29.95,-90.15
"1455",1403,"Nine Mile Point","LA",0,"barrels","0","NG",29.95,-90.15
"1456",1404,"Sterlington","LA",0,"barrels","0","NG",32.7,-92.08
"1457",1404,"Sterlington","LA",89,"mcf","0","NG",32.7,-92.08
"1458",1404,"Sterlington","LA",0,"barrels","0","NG",32.7,-92.08
"1459",1404,"Sterlington","LA",-2772,"mcf","11,637","NG",32.7,-92.08
"1460",1404,"Sterlington","LA",0,"barrels","0","NG",32.7,-92.08
"1461",1409,"Michoud","LA",1741896,"mcf","18,464,604","NG",30.01,-89.94
"1462",1409,"Michoud","LA",0,"barrels","0","NG",30.01,-89.94
"1463",1416,"Arsenal Hill","LA",27400,"mcf","344,378","NG",32.52,-93.76
"1464",1417,"Lieberman","LA",0,"barrels","0","NG",32.7,-93.96
"1465",1417,"Lieberman","LA",49841,"mcf","575,762","NG",32.7,-93.96
"1466",1417,"Lieberman","LA",0,"barrels","0","NG",32.7,-93.96
