"","Plant.Id","Plant.Name","State","Net.Gen","Physical_Unit","Total_Fuel_Consumption","FuelType","Lat","Lon"
"1861",1969,"Delano","MN",10,"barrels","45",NA,NA,NA
"1862",1969,"Delano","MN",10,"barrels","111",NA,NA,NA
"1863",1969,"Delano","MN",0,"mcf","0",NA,NA,NA
"1864",1970,"Detroit Lakes","MN",39,"barrels","119",NA,NA,NA
"1865",1971,"Elk River City of","MN",95,"barrels","194",NA,NA,NA
"1866",1971,"Elk River City of","MN",25443,"mcf","560,046",NA,NA,NA
"1867",1971,"Elk River City of","MN",0,"mcf","0",NA,NA,NA
"1868",1972,"Fairfax","MN",11,"barrels","15",NA,NA,NA
"1869",1973,"Fairmont (MN)","MN",40,"barrels","64",NA,NA,NA
"1870",1973,"Fairmont (MN)","MN",15419,"mcf","142,695",NA,NA,NA
"1871",1975,"Glencoe","MN",234,"barrels","415",NA,NA,NA
"1872",1975,"Glencoe","MN",46,"mcf","460",NA,NA,NA
"1873",1976,"Grand Marais","MN",95,"barrels","195",NA,NA,NA
"1874",1977,"Granite Falls","MN",2779,"","0","WAT",44.81,-95.53
"1875",1979,"Hibbing","MN",0,"short tons","0","SUB",47.43,-92.94
"1876",1979,"Hibbing","MN",0,"barrels","0","SUB",47.43,-92.94
"1877",1979,"Hibbing","MN",0,"short tons","0","SUB",47.43,-92.94
"1878",1979,"Hibbing","MN",124,"mcf","2,801","SUB",47.43,-92.94
"1879",1979,"Hibbing","MN",99155,"short tons","123,451","SUB",47.43,-92.94
"1880",1979,"Hibbing","MN",42386,"short tons","102,175","SUB",47.43,-92.94
"1881",1980,"Hutchinson Plant #1","MN",0,"barrels","0","NG",44.9,-94.37
"1882",1980,"Hutchinson Plant #1","MN",7979,"mcf","82,307","NG",44.9,-94.37
"1883",1980,"Hutchinson Plant #1","MN",185,"barrels","297","NG",44.9,-94.37
"1884",1980,"Hutchinson Plant #1","MN",4691,"mcf","41,122","NG",44.9,-94.37
"1885",1982,"Janesville","MN",10,"barrels","20",NA,NA,NA
"1886",1982,"Janesville","MN",4,"mcf","59",NA,NA,NA
"1887",1983,"Kenyon Municipal","MN",22,"barrels","52",NA,NA,NA
"1888",1985,"Lake Crystal","MN",26,"barrels","45",NA,NA,NA
"1889",1985,"Lake Crystal","MN",0,"mcf","0",NA,NA,NA
"1890",1987,"Lanesboro","MN",435,"","0",NA,NA,NA
"1891",1987,"Lanesboro","MN",4,"barrels","18",NA,NA,NA
