Plant.Id,State,Fuel.Simplified,Net.Gen,Lat,Lon,FuelType,Plant.Name
54517,CA,Biomass,31574,37.97,-120.32,WDS,Sierra Pacific Sonora
54518,LA,Natural Gas,346743,30.5,-91.19,NG,Formosa Plastics
54520,TX,Biomass,33523,32.78,-97.14,OBG,Village Creek Water Reclamation Facility
54524,ID,Hydro,42403,43.9,-116.24,WAT,Horseshoe Bend Hydroelectric Co
54525,IL,Hydro,1520,41.11,-87.87,WAT,Kankakee Hydro Facility
54526,NY,Biomass,132140,43.62,-75.31,WDS,ReEnergy Lyonsdale Biomass
54529,FL,Biomass,191014,28.03,-81.85,WDS,Wheelabrator Ridge Energy
54533,MN,Coal,10790,44.8,-95.18,SUB,Southern Minnesota Beet Sugar
54537,WA,Natural Gas,868745,48.83,-122.69,NG,Ferndale Generating Station
54538,GA,Natural Gas,38139,34.34,-82.82,NG,Hartwell Energy Facility
54547,NY,Natural Gas,6451930,43.5,-76.45,NG,Sithe Independence Station
54550,AL,Natural Gas,83981,30.43,-88.18,NG,ExxonMobil Mobile Bay Onshore
54554,CA,Hydro,6195,38.39,-120.0,WAT,Spicer Meadow Project
54555,CA,Hydro,143402,38.14,-120.38,WAT,Collierville Powerhouse
54556,IL,Coal,290330,41.78,-87.82,BIT,Ingredion Incorporated
54558,ID,Hydro,23564,42.61,-114.09,WAT,Hazelton B Hydro
54561,CA,Natural Gas,199753,37.37,-121.94,NG,Jefferson Smurfit Santa Clara Mill
54562,WA,Waste,300898,46.1,-122.92,BLQ,Longview Fibre
54564,NY,Natural Gas,3476,42.87,-78.88,NG,General Mills Inc
54569,NJ,Solar,5622,39.91,-74.18,SUN,Bayville Central Facility
54572,NH,Hydro,3246,43.47,-71.53,WAT,Lochmere Hydroelectric Plant
54573,NY,Hydro,6563,41.6,-73.92,WAT,Wappinger Falls Hydroelectric
54574,NY,Natural Gas,185277,44.71,-73.46,NG,Saranac Facility
54579,ID,Natural Gas,76677,42.61,-113.68,NG,Rupert Cogen Project
54580,NY,Hydro,287375,43.25,-73.83,WAT,Curtis Palmer Hydroelectric
54586,MA,Natural Gas,140494,42.63,-71.31,NG,Tanner Street Generation
54592,NY,Natural Gas,3157,44.95,-74.89,NG,Massena Energy Facility
54593,NY,Natural Gas,34210,42.98,-78.16,NG,Batavia Power Plant
54618,NC,Biomass,55609,36.03,-80.23,WDS,Ingredion Winston Salem
54620,MA,Biomass,118634,42.54,-71.85,WDS,Pinetree Power Fitchburg
54625,PA,Waste,210084,40.1,-75.31,MSW,Covanta Plymouth Renewable Energy
54626,CA,Biomass,249143,35.58,-119.01,WDS,Mt Poso Cogeneration
54627,FL,Biomass,223794,26.58,-80.75,AB,Okeelanta Cogeneration
54628,TX,Natural Gas,29557,31.76,-106.39,NG,Phelps Dodge Refining
54630,CO,Natural Gas,18568,39.65,-106.95,NG,American Gypsum Cogeneration
54634,PA,Coal,660243,40.82,-76.17,WC,St Nicholas Cogen Project
54637,TX,Natural Gas,439940,29.96,-93.93,NG,JCO Oxides Olefins Plant
54638,PA,Waste,244687,41.49,-78.68,BLQ,Johnsonburg Mill
54639,NH,Hydro,142301,44.39,-71.16,WAT,Berlin Gorham
54640,NJ,Natural Gas,1107988,40.06,-74.17,NG,NAEA Lakewood LLC
54646,HI,Oil,1367800,21.3,-158.1,RFO,Kalaeloa Cogen Plant
54647,CA,Wind,74716,35.05,-118.26,WND,TPC Windfarms LLC
54650,CA,Wind,28874,33.92,-116.56,WND,Swanmill Windfarm I
54653,CA,Hydro,138,39.56,-121.3,WAT,Kanaka
54654,CA,Hydro,3055,40.09,-123.51,WAT,Kekawaka Power House
54655,VA,Hydro,14608,36.58,-79.43,WAT,Schoolfield Dam
54656,NC,Waste,380889,34.35,-78.21,BLQ,International Paper Riegelwood Mill
54663,NH,Waste,27150,43.24,-70.97,LFG,Turnkey Landfill Gas Recovery
54665,NV,Geothermal,68902,39.4,-119.75,GEO,Steamboat II
54666,NV,Geothermal,73873,39.4,-119.75,GEO,Steamboat III
54667,NM,Natural Gas,856,32.7,-108.12,NG,Chino Mines
54668,ID,Hydro,40347,44.06,-111.35,WAT,Falls River Hydro
54674,ID,Hydro,2994,46.38,-115.95,WAT,Ford Hydro LP
54676,TX,Natural Gas,2182646,28.98,-95.34,NG,Oyster Creek Unit VIII
54677,LA,Oil,48500,29.93,-89.98,PC,CII Carbon LLC
54678,LA,Hydro,999036,31.09,-91.62,WAT,Sidney A Murray Jr Hydroelectric
54679,CO,Hydro,7757,40.01,-105.33,WAT,Boulder City Lakewood Hydro
54680,CO,Hydro,7757,40.01,-105.33,WAT,Boulder City Betasso Hydro Plant
54681,CA,Wind,12461,33.96,-116.54,WND,Difwind Farms Ltd I
54682,CA,Wind,4120,33.96,-116.54,WND,Difwind Farms Ltd II
54685,CA,Wind,16161,33.92,-116.56,WND,Difwind Farms Ltd V
54686,CA,Wind,34060,35.05,-118.17,WND,Difwind Farms Ltd VI
54689,CA,Geothermal,321942,32.71,-115.52,GEO,Heber Geothermal
54690,ID,Coal,49716,43.61,-116.58,BIT,Amalgamated Sugar LLC Nampa
54693,PA,Natural Gas,7763,39.99,-76.68,NG,York Generation Company LLC
54694,AZ,Natural Gas,27171,32.73,-114.65,NG,Yuma Cogeneration Associates
54721,OR,Hydro,81909,44.72,-121.25,WAT,Warm Springs Power Enterprises
54724,CA,Geothermal,73670,32.79,-115.25,GEO,Ormesa II
54729,CO,Hydro,10732,40.11,-108.71,WAT,Taylor Draw Hydroelectric Facility
54730,AL,Natural Gas,14341,30.4,-88.13,NG,Shell Offshore Yellowhammer
54746,PA,Waste,321533,40.16,-74.77,MSW,Wheelabrator Falls
54748,TX,Natural Gas,268533,29.98,-93.95,NG,Port Neches Plant
54749,CA,Natural Gas,22797,33.12,-117.1,NG,Goal Line LP
54750,CA,Wind,13012,35.07,-118.34,WND,Coram Tehachapi
54751,MI,Biomass,70919,43.09,-83.67,WDS,Genesee Power Station LP
54752,AL,Biomass,376573,31.97,-87.48,WDS,Weyerhaeuser Pine Hill Operations
54753,ID,Hydro,5927,42.65,-114.89,WAT,Lateral 10 Ventures
54755,NC,Coal,23793,36.44,-77.62,BIT,Roanoke Valley Energy Facility II
54758,CT,Waste,107327,41.58,-72.04,MSW,Wheelabrator Lisbon
54761,OR,Natural Gas,2387243,45.8,-119.37,NG,Hermiston Generating Plant
54763,AL,Waste,201187,32.45,-87.98,BLQ,Rock-Tenn Mill
54768,CA,Natural Gas,131728,35.48,-119.03,NG,Live Oak Cogen
54772,NY,Hydro,63687,43.3,-73.64,WAT,South Glens Falls Hydroelectric
54775,IA,Coal,68464,41.66,-91.54,BIT,University of Iowa Main Power Plant
54780,IL,Natural Gas,292033,40.11,-88.24,NG,University of Illinois Abbott Power Plt
54785,PA,Natural Gas,1054756,39.94,-75.19,NG,Grays Ferry Cogeneration
54789,AL,Waste,274205,31.08,-87.11,BLQ,Georgia-Pacific Brewton Mill
54790,IL,Natural Gas,32057,41.16,-87.85,NG,CSL Behring LLC
54793,IA,Wind,203276,42.69,-95.41,WND,Storm Lake 1
54794,MN,Wind,54267,44.27,-96.07,WND,Buffalo Ridge Windplant WPP 1993
54795,MD,Natural Gas,51268,39.27,-76.6,NG,Domino Sugar Baltimore
54800,CA,Natural Gas,26385,36.83,-119.77,NG,Saint Agnes Medical Center
54801,NC,Hydro,4041,36.42,-79.95,WAT,Avalon/Mayo Hydropower
54802,AL,Biomass,787453,32.18,-85.03,WDS,Mead Coated Board
54805,MA,Natural Gas,484224,42.13,-71.51,NG,Milford Power LP
54808,NY,Natural Gas,99284,40.79,-73.92,NG,New York University Central Plant
54809,WA,Natural Gas,18177,47.65,-122.3,NG,University of Washington Power Plant
54812,ID,Hydro,4766,42.74,-114.16,WAT,Mile 28 Water Power Project
54814,NM,Natural Gas,246370,36.74,-107.94,NG,Milagro Cogeneration Plant
54817,TX,Natural Gas,602384,32.4,-97.41,NG,Johnson County
54827,HI,Hydro,40881,19.71,-155.15,WAT,Wailuku River Hydroelectric
54829,NJ,Natural Gas,54946,40.48,-74.45,NG,Bristol Myers Squibb New Brunswick
54832,MD,Natural Gas,1294284,38.67,-76.87,NG,Brandywine Power Facility
54844,VA,Natural Gas,1150024,38.12,-78.21,NG,Gordonsville Energy LP
54850,KY,Biomass,12364,37.32,-85.36,WDS,Cox Waste to Energy
54851,WI,Natural Gas,84848,43.02,-87.9,NG,MMSD Jones Island Wastewater
54854,NV,Natural Gas,19119,36.14,-115.03,NG,Sun Peak Generating Station
54855,IL,Natural Gas,27730,41.92,-87.79,NG,Mars Snackfood US
54860,WA,Hydro,6389,47.53,-121.7,WAT,Black Creek
54865,NY,Hydro,11280,43.23,-76.3,WAT,Phoenix Hydro Project
54867,MI,Coal,34016,46.41,-86.64,BIT,Neenah Paper Munising Mill
54872,GA,Hydro,2930,33.69,-83.99,WAT,Milstead
54878,NY,Hydro,6627,44.34,-75.5,WAT,Dunn Paper
54880,GA,Natural Gas,2169,33.27,-82.41,NG,Kamin LLC Wrens Plant
54887,NC,Oil,1619,35.67,-77.36,DFO,DSM Pharmaceuticals
54894,NC,Hydro,361666,35.42,-80.09,WAT,Narrows (NC)
54895,NC,Hydro,97196,35.39,-80.08,WAT,Falls Hydro
54896,NC,Hydro,110380,35.6,-80.23,WAT,High Rock Hydro
54897,NC,Hydro,87769,35.49,-80.18,WAT,Tuckertown Hydro
54898,NC,Hydro,155079,35.45,-83.86,WAT,Santeetlah
54899,NC,Hydro,477679,35.45,-83.94,WAT,Cheoah
54900,TN,Hydro,568256,35.49,-83.98,WAT,Calderwood
54901,TN,Hydro,97998,35.55,-84.05,WAT,Chilhowee
54907,MA,Natural Gas,113460,42.36,-71.09,NG,Mass Inst Tech Cntrl Utilities/Cogen Plt
54908,ND,Biomass,3594,46.61,-97.58,AB,Enderlin
54909,CA,Wind,35278,35.11,-118.31,WND,Tehachapi Wind Resource II
54912,CA,Natural Gas,830604,38.02,-122.11,NG,Martinez Refining
54914,NY,Natural Gas,1955932,40.7,-73.98,NG,Brooklyn Navy Yard Cogeneration
54915,MI,Natural Gas,1037405,43.94,-86.43,NG,Michigan Power LP
54918,MS,Natural Gas,37832,32.39,-90.91,NG,Ergon Refining Vicksburg
54931,CA,Wind,132125,35.07,-118.32,WND,Ridgetop
54933,IL,Natural Gas,1174,42.32,-89.04,NG,Mondelez Global LLC
54936,CA,Natural Gas,12938,32.58,-116.93,NG,Richard J Donovan Correctional Facility
54945,CT,Waste,309579,41.75,-72.65,MSW,CT Resource Rec Authority Facility
54950,OR,Natural Gas,10043,44.05,-123.07,NG,Univ of Oregon Central Power Station
54953,NY,Hydro,180446,43.3,-73.6,WAT,Hudson Falls Hydroelectric Project
54969,IL,Hydro,15991,41.85,-89.48,WAT,Dixon Hydroelectric Dam
54974,OH,Biomass,30604,41.52,-84.29,WDS,Sauder Power Plant
54975,NM,Natural Gas,37113,32.16,-106.45,NG,New Mexico State University
54979,TX,Wind,72854,32.29,-101.45,WND,Big Spring Wind Power Facility
54984,NC,Waste,21293,36.19,-80.29,LFG,Salem Energy Systems LLC
54995,IN,Other,545453,41.68,-87.42,BFG,Indiana Harbor E 5 AC Station
54996,CA,Geothermal,329900,33.16,-115.64,GEO,Salton Sea Power Gen Co - Unit 4
54998,VA,Waste,265677,36.81,-76.3,MSW,Wheelabrator Portsmouth
55007,ID,Hydro,3429,42.59,-114.44,WAT,K W Company
55009,CA,Hydro,1804,40.85,-121.96,WAT,Montgomery Creek Hydro
55010,MN,Natural Gas,219733,44.8,-92.91,NG,LSP-Cottage Grove LP
55011,WI,Natural Gas,622374,42.86,-88.73,NG,LSP-Whitewater LP
